"Hour", kWh, kvarh, "Peak kW", "peak kVA", "Losses kWh", "Losses kvarh", "Peak Losses kW"
, 593.708720005259, -91.4092040752672, 593.708720005259, 600.7043256045, 532.173985841868, -95.3672648670545, 532.173985841868
ð?, 594.671962502041, -91.2746803597905, 594.671962502041, 601.635944954099, 532.186451045151, -95.2940179966986, 532.186451045151
@, 592.380393535444, -91.5942376453124, 594.671962502041, 601.635944954099, 532.157249725206, -95.4677639763044, 532.186451045151
@, 589.490853473017, -91.9945842193982, 594.671962502041, 601.635944954099, 532.122635608609, -95.6843741449949, 532.186451045151
@, 589.88727356795, -91.939527140002, 594.671962502041, 601.635944954099, 532.127202621807, -95.654874263, 532.186451045151
@, 589.12433931484, -92.0449668656581, 594.671962502041, 601.635944954099, 532.118399905216, -95.711680763395, 532.186451045151
@, 589.389306906466, -92.008309198959, 594.671962502041, 601.635944954099, 532.121430633422, -95.6919836031917, 532.186451045151
@, 590.916092746652, -91.7970993555603, 594.671962502041, 601.635944954099, 532.139353549501, -95.5779525139058, 532.186451045151
 @, 594.271322266379, -91.330470511089, 594.671962502041, 601.635944954099, 532.181203181178, -95.3245744889565, 532.186451045151
"@, 598.795346882737, -90.6957483611425, 598.795346882737, 605.624955082933, 532.24298619674, -94.9768670488825, 532.24298619674
$@, 600.229636502197, -90.4932679467916, 600.229636502197, 607.012889549513, 532.263886246629, -94.8651078695232, 532.263886246629
&@, 596.105768361243, -91.0743169352416, 600.229636502197, 607.012889549513, 532.205590484732, -95.1842725169583, 532.263886246629
(@, 594.673604548118, -91.2746022226095, 600.229636502197, 607.012889549513, 532.186495638903, -95.2938502552468, 532.263886246629
*@, 593.41005647631, -91.4508799867387, 600.229636502197, 607.012889549513, 532.170180148526, -95.3899072582261, 532.263886246629
,@, 592.180316121361, -91.6219584870095, 600.229636502197, 607.012889549513, 532.154761422601, -95.4828719914639, 532.263886246629
.@, 591.316230391468, -91.7418503039276, 600.229636502197, 607.012889549513, 532.144194415829, -95.5478930922986, 532.263886246629
0@, 590.651760144582, -91.8338877267004, 600.229636502197, 607.012889549513, 532.136221463892, -95.5977197846403, 532.263886246629
1@, 593.507030514884, -91.4370808373281, 600.229636502197, 607.012889549513, 532.171374576621, -95.3826256743312, 532.263886246629
2@, 601.091041550151, -90.3711099131752, 601.091041550151, 607.846508370974, 532.276666585319, -94.7978174718409, 532.276666585319
3@, 605.127627715852, -89.7964071514292, 605.127627715852, 611.7539052285, 532.339805499486, -94.4784480065212, 532.339805499486
4@, 602.898435250757, -90.1145827913331, 605.127627715852, 611.7539052285, 532.30439982839, -94.6553250216161, 532.339805499486
5@, 602.530244851905, -90.1669452811816, 605.127627715852, 611.7539052285, 532.298672056514, -94.6844417499281, 532.339805499486
6@, 603.396037117846, -90.0436622023758, 605.127627715852, 611.7539052285, 532.312159161641, -94.6160261194777, 532.339805499486
8@, 591.788332941249, -91.6772147480489, 605.127627715852, 611.7539052285, 532.150048423666, -95.5122247576913, 532.339805499486
9@, 589.590038078386, -91.9808244797299, 605.127627715852, 611.7539052285, 532.123775502206, -95.6769959804113, 532.339805499486
:@, 588.427485394132, -92.1410554905599, 605.127627715852, 611.7539052285, 532.110504739902, -95.7634055146467, 532.339805499486
;@, 586.536522464128, -92.4009948348843, 605.127627715852, 611.7539052285, 532.089808390299, -95.902942686094, 532.339805499486
<@, 587.099077617038, -92.3235436759966, 605.127627715852, 611.7539052285, 532.095828898428, -95.8615891717564, 532.339805499486
=@, 587.397844412172, -92.282539301644, 605.127627715852, 611.7539052285, 532.099082119395, -95.8395611535679, 532.339805499486
>@, 589.023291853272, -92.0586763863163, 605.127627715852, 611.7539052285, 532.117219786017, -95.7192286219224, 532.339805499486
?@, 591.878624877307, -91.6635325386589, 605.127627715852, 611.7539052285, 532.151006392309, -95.505667682124, 532.339805499486
@@, 596.39908522274, -91.0327211071828, 605.127627715852, 611.7539052285, 532.2094909043, -95.1619156458582, 532.339805499486
€@@, 599.362554575234, -90.6157722713198, 605.127627715852, 611.7539052285, 532.251180798995, -94.9327478807976, 532.339805499486
A@, 599.464608914798, -90.6014625308253, 605.127627715852, 611.7539052285, 532.252688266098, -94.9247454934896, 532.339805499486
€A@, 598.000775812061, -90.8079521786353, 605.127627715852, 611.7539052285, 532.231742879104, -95.0383265689161, 532.339805499486
B@, 598.099495579057, -90.7939841770582, 605.127627715852, 611.7539052285, 532.233122112461, -95.0307179801015, 532.339805499486
€B@, 595.140260476447, -91.2094575650989, 605.127627715852, 611.7539052285, 532.192656361325, -95.2582106729249, 532.339805499486
C@, 595.038506988241, -91.2235148750215, 605.127627715852, 611.7539052285, 532.191283331838, -95.2660335248008, 532.339805499486
€C@, 592.546689115349, -91.5711344088207, 605.127627715852, 611.7539052285, 532.159320140916, -95.4552078349926, 532.339805499486
D@, 592.644687885386, -91.5573129666279, 605.127627715852, 611.7539052285, 532.160517135473, -95.4478496022373, 532.339805499486
€D@, 595.601804656826, -91.1445206462321, 605.127627715852, 611.7539052285, 532.198743116054, -95.2230238180571, 532.339805499486
E@, 602.990720038795, -90.1012965752315, 605.127627715852, 611.7539052285, 532.305758446657, -94.6482436119386, 532.339805499486
€E@, 605.029222733755, -89.8104888311095, 605.127627715852, 611.7539052285, 532.338224621221, -94.4862511722972, 532.339805499486
F@, 604.630975635337, -89.867436642833, 605.127627715852, 611.7539052285, 532.331811931508, -94.5179300488826, 532.339805499486
€F@, 602.997972337887, -90.1004015912188, 605.127627715852, 611.7539052285, 532.305946328529, -94.647469842825, 532.339805499486
G@, 604.262716959287, -89.9200302771617, 605.127627715852, 611.7539052285, 532.325893265215, -94.5472662204142, 532.339805499486
H@, 593.914887136756, -91.3811201339063, 605.127627715852, 611.7539052285, 532.176730050056, -95.3514357432601, 532.339805499486
€H@, 590.819375591592, -91.8108871756186, 605.127627715852, 611.7539052285, 532.138245062723, -95.5851266814574, 532.339805499486
I@, 589.224445999824, -92.0312346180405, 605.127627715852, 611.7539052285, 532.119555504102, -95.7042231477324, 532.339805499486
€I@, 587.001171271177, -92.3372812170029, 605.127627715852, 611.7539052285, 532.09480049962, -95.8687602743655, 532.339805499486
J@, 587.198825442387, -92.3098862901824, 605.127627715852, 611.7539052285, 532.096915074171, -95.8542341230272, 532.339805499486
€J@, 588.82411931364, -92.0861355551744, 605.127627715852, 611.7539052285, 532.114952971803, -95.7340238281679, 532.339805499486
K@, 592.077720607007, -91.6358600333093, 605.127627715852, 611.7539052285, 532.15345001068, -95.4906787414369, 532.339805499486
€K@, 595.701127414089, -91.1305762773222, 605.127627715852, 611.7539052285, 532.200066981846, -95.2154314946387, 532.339805499486
L@, 598.862944772449, -90.6862690710221, 605.127627715852, 611.7539052285, 532.24396832555, -94.9715913794697, 532.339805499486
€L@, 598.399520610787, -90.7517464111945, 605.127627715852, 611.7539052285, 532.237379460389, -95.0074706767977, 532.339805499486
M@, 596.569949320962, -91.0090864008299, 605.127627715852, 611.7539052285, 532.211881477204, -95.1486664056435, 532.339805499486
€M@, 592.846621491443, -91.5295058505424, 605.127627715852, 611.7539052285, 532.1630843291, -95.4325229634745, 532.339805499486
N@, 590.818697355797, -91.8108900989795, 605.127627715852, 611.7539052285, 532.138225815666, -95.585194650185, 532.339805499486
€N@, 589.987655055867, -91.9257650336321, 605.127627715852, 611.7539052285, 532.128388397592, -95.6473637660413, 532.339805499486
O@, 589.987138509457, -91.925761764233, 605.127627715852, 611.7539052285, 532.128373641429, -95.6474154102003, 532.339805499486
€O@, 589.987138108274, -91.925761763281, 605.127627715852, 611.7539052285, 532.128373557123, -95.6474155251921, 532.339805499486
P@, 590.451774628779, -91.861467043822, 605.127627715852, 611.7539052285, 532.133836424012, -95.6127036691661, 532.339805499486
@P@, 591.613925641717, -91.7003989593902, 605.127627715852, 611.7539052285, 532.147787692634, -95.5255557190249, 532.339805499486
€P@, 600.324023164215, -90.479688401448, 605.127627715852, 611.7539052285, 532.265218627619, -94.8578828939883, 532.339805499486
ÀP@, 603.860672882619, -89.9773864058086, 605.127627715852, 611.7539052285, 532.319473829821, -94.5792509925626, 532.339805499486
Q@, 606.363423577992, -89.619379511851, 606.363423577992, 612.950434078738, 532.360118639371, -94.3795481228764, 532.360118639371
@Q@, 604.732070923307, -89.8529935095047, 606.363423577992, 612.950434078738, 532.333450290542, -94.5098501911085, 532.360118639371
€Q@, 603.964242868354, -89.9626525088351, 606.363423577992, 612.950434078738, 532.321153223232, -94.5709320155116, 532.360118639371
R@, 594.080829437396, -91.3579310222537, 606.363423577992, 612.950434078738, 532.178865495728, -95.3388309332081, 532.360118639371
@R@, 591.417049888969, -91.7280178379758, 606.363423577992, 612.950434078738, 532.145434202957, -95.5402908155365, 532.360118639371
€R@, 590.452672113556, -91.8614675500063, 606.363423577992, 612.950434078738, 532.133862079891, -95.6126139795648, 532.360118639371
ÀR@, 590.153363102101, -91.902809200833, 606.363423577992, 612.950434078738, 532.130325200776, -95.6349985315175, 532.360118639371
S@, 590.551451824979, -91.8476798165246, 606.363423577992, 612.950434078738, 532.135018277549, -95.605245164589, 532.360118639371
@S@, 592.444119376504, -91.5850621121556, 606.363423577992, 612.950434078738, 532.157999238567, -95.4630247562741, 532.360118639371
€S@, 595.900826634923, -91.102617011559, 606.363423577992, 612.950434078738, 532.202752462064, -95.2001286356163, 532.360118639371
ÀS@, 603.190813526341, -90.0728104516738, 606.363423577992, 612.950434078738, 532.308886400686, -94.6324158473506, 532.360118639371
T@, 603.396570366859, -90.0435946991129, 606.363423577992, 612.950434078738, 532.312172901257, -94.6159691392747, 532.360118639371
@T@, 600.033444817735, -90.5211751510661, 606.363423577992, 612.950434078738, 532.261036804124, -94.8803287348623, 532.360118639371
€T@, 597.834876409677, -90.8313374819227, 606.363423577992, 612.950434078738, 532.229414712978, -95.0511421032869, 532.360118639371
ÀT@, 593.611503686102, -91.4230133308623, 606.363423577992, 612.950434078738, 532.17277819356, -95.3745782578238, 532.360118639371
U@, 592.379700417566, -91.594253308292, 606.363423577992, 612.950434078738, 532.157230587665, -95.4678340433315, 532.360118639371
@U@, 590.353703778717, -91.8752532993026, 606.363423577992, 612.950434078738, 532.132703157805, -95.6199986211351, 532.360118639371
€U@, 589.887808323766, -91.9395312167509, 606.363423577992, 612.950434078738, 532.127217937435, -95.6548208791922, 532.360118639371
ÀU@, 589.987076461671, -91.92576136611, 606.363423577992, 612.950434078738, 532.12837179726, -95.6474216345292, 532.360118639371
V@, 590.750501025645, -91.8200952267639, 606.363423577992, 612.950434078738, 532.137382633574, -95.5903483346601, 532.360118639371
@V@, 591.680520974366, -91.6911782248922, 606.363423577992, 612.950434078738, 532.148602193544, -95.5205434265098, 532.360118639371
€V@, 600.69019188351, -90.4278546294339, 606.363423577992, 612.950434078738, 532.270654523621, -94.8292505606031, 532.360118639371
ÀV@, 603.494487344428, -90.0296069418068, 606.363423577992, 612.950434078738, 532.313692178584, -94.6082710682943, 532.360118639371
W@, 603.596716745198, -90.0150663808273, 606.363423577992, 612.950434078738, 532.315326262608, -94.600108136192, 532.360118639371
@W@, 603.596800975965, -90.0150555556301, 606.363423577992, 612.950434078738, 532.315328376579, -94.600099201534, 532.360118639371
€W@, 601.964617963553, -90.2473730126598, 606.363423577992, 612.950434078738, 532.289986706715, -94.7289906295978, 532.360118639371
